idx,density,noise,n_edges,gates,ei_micro,ei_macro_best,causal_emergence,macro_n_states,phi_mean,phi_max
0,0.3,0.0,3,copy|majority|copy,1.0,1.0,0.0,8,0.0,0.0
1,0.3,0.0,4,or|and|parity,2.0,2.0,0.0,8,0.0,0.0
2,0.3,0.0,4,parity|majority|parity,2.0,2.0,0.0,8,0.0,0.0
3,0.3,0.0,4,and|and|copy,2.0,2.0,0.0,8,0.0,0.0
4,0.3,0.0,3,or|parity|or,2.0,2.0,0.0,8,0.0,0.0
5,0.3,0.0,3,and|parity|and,2.0,2.0,0.0,8,0.0,0.0
6,0.3,0.0,3,majority|parity|copy,2.0,2.0,0.0,8,0.0,0.0
7,0.3,0.0,3,parity|or|or,2.0,2.0,0.0,8,0.0,0.0
8,0.3,0.0,5,majority|and|or,2.0,2.0,0.0,8,0.0,0.0
9,0.3,0.0,3,and|or|and,2.0,2.0,0.0,8,0.0,0.0
10,0.3,0.0,4,parity|parity|copy,2.0,2.0,0.0,8,0.0,0.0
11,0.3,0.0,3,copy|parity|or,2.0,2.0,0.0,8,0.0,0.0
12,0.3,0.0,3,and|and|or,2.0,2.0,0.0,8,0.0,0.0
13,0.3,0.0,5,copy|or|copy,3.0,3.0,0.0,8,2.0,2.0
14,0.3,0.0,3,parity|and|or,2.0,2.0,0.0,8,0.0,0.0
15,0.3,0.1,3,or|or|parity,1.273090264960436,1.273090264960436,0.0,8,0.0,0.0
16,0.3,0.1,4,and|and|copy,1.3828218444636975,1.3828218444636975,0.0,8,0.30909487243927936,1.2363794897571174
17,0.3,0.1,3,and|and|or,1.5930132192321564,1.5930132192321564,0.0,8,1.2363794897571174,1.2363794897571174
18,0.3,0.1,3,parity|or|copy,1.273090264960436,1.273090264960436,0.0,8,0.0,0.0
19,0.3,0.1,4,or|copy|copy,1.273090264960436,1.273090264960436,0.0,8,0.0,0.0
20,0.3,0.1,6,or|and|parity,1.0737117033740016,1.0960551882225091,0.022343484848507567,7,0.03303919848393155,0.2643135878714524
21,0.3,0.1,3,or|copy|parity,1.273090264960436,1.273090264960436,0.0,8,0.0,0.0
22,0.3,0.1,5,majority|majority|or,1.166900551439594,1.198554697346684,0.03165414590709004,7,0.18984572519819903,1.2363794897571174
23,0.3,0.1,4,or|parity|copy,1.273090264960436,1.273090264960436,0.0,8,0.0,0.0
24,0.3,0.1,3,parity|parity|majority,1.273090264960436,1.273090264960436,0.0,8,0.0,0.0
25,0.3,0.1,5,majority|copy|copy,1.273090264960436,1.273090264960436,0.0,8,0.0,0.0
26,0.3,0.1,3,majority|or|and,0.8624177306350442,0.8624177306350447,4.440892098500626e-16,6,0.0,0.0
27,0.3,0.1,3,parity|copy|and,1.273090264960436,1.273090264960436,0.0,8,0.0,0.0
28,0.3,0.1,3,or|parity|or,1.273090264960436,1.273090264960436,0.0,8,0.0,0.0
29,0.3,0.1,6,or|and|or,0.9672590061180126,1.0200375302099172,0.05277852409190453,7,0.0,0.0
30,0.3,0.2,5,majority|copy|and,0.6726652284378982,0.6726652284378982,0.0,8,0.0,0.0
31,0.3,0.2,5,parity|majority|copy,0.8342157153379128,0.8342157153379128,0.0,8,0.6943456308353413,0.6943456308353413
32,0.3,0.2,3,parity|copy|parity,0.8342157153379128,0.8342157153379128,0.0,8,0.0,0.0
33,0.3,0.2,3,majority|copy|and,0.7385971730624066,0.7385971730624066,0.0,8,0.0,0.0
34,0.3,0.2,3,or|copy|parity,0.7385971730624066,0.7385971730624066,0.0,8,0.0,0.0
35,0.3,0.2,3,copy|parity|majority,0.738597173062407,0.738597173062407,0.0,8,0.0,0.0
36,0.3,0.2,3,and|majority|and,0.8342157153379128,0.8342157153379128,0.0,8,0.6943456308353413,0.6943456308353413
37,0.3,0.2,4,and|majority|copy,0.7385971730624066,0.7385971730624066,0.0,8,0.0,0.0
38,0.3,0.2,3,majority|and|majority,0.7385971730624066,0.7385971730624066,0.0,8,0.0,0.0
39,0.3,0.2,3,parity|or|or,0.7385971730624066,0.7385971730624066,0.0,8,0.0,0.0
40,0.3,0.2,4,majority|and|and,0.7423826621952498,0.7423826621952498,0.0,8,0.0,0.0
41,0.3,0.2,4,parity|majority|and,0.7091258888239018,0.7091258888239018,0.0,8,0.0,0.0
42,0.3,0.2,3,and|and|parity,0.7385971730624066,0.7385971730624066,0.0,8,0.0,0.0
43,0.3,0.2,3,and|and|or,0.738597173062407,0.738597173062407,0.0,8,0.0,0.0
44,0.3,0.2,5,parity|copy|majority,0.7423826621952503,0.7423826621952503,0.0,8,0.0,0.0
45,0.3,0.35,3,and|or|copy,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
46,0.3,0.35,4,parity|copy|copy,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
47,0.3,0.35,3,majority|parity|and,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
48,0.3,0.35,3,or|and|copy,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
49,0.3,0.35,3,copy|copy|parity,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
50,0.3,0.35,5,majority|parity|or,0.16190444730171905,0.16190444730171905,0.0,8,0.0,0.0
51,0.3,0.35,4,copy|parity|and,0.19779583387352728,0.19779583387352728,0.0,8,0.0,0.0
52,0.3,0.35,3,copy|copy|or,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
53,0.3,0.35,3,copy|copy|majority,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
54,0.3,0.35,5,or|or|or,0.16190474303389957,0.16190474303389957,0.0,8,0.0,0.0
55,0.3,0.35,3,parity|and|or,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
56,0.3,0.35,5,parity|and|and,0.1617767418214484,0.17863398409382114,0.01685724227237273,6,0.0,0.0
57,0.3,0.35,4,or|or|parity,0.18000918084867656,0.18000918084867656,0.0,8,0.0,0.0
58,0.3,0.35,4,or|copy|or,0.17290784614599897,0.17290784614599897,0.0,8,0.0,0.0
59,0.3,0.35,5,copy|copy|copy,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
60,0.5,0.0,6,and|or|and,1.9056390622295665,2.0,0.09436093777043353,4,0.0,0.0
61,0.5,0.0,3,parity|copy|majority,3.0,3.0,0.0,8,0.0,0.0
62,0.5,0.0,4,copy|copy|parity,2.0,2.0,0.0,8,0.0,0.0
63,0.5,0.0,5,or|copy|or,1.811278124459133,2.0,0.18872187554086706,4,0.5,2.0
64,0.5,0.0,6,copy|and|or,2.5,2.584962500721156,0.08496250072115608,6,0.0,0.0
65,0.5,0.0,5,majority|majority|majority,2.5,2.5,0.0,8,0.0,0.0
66,0.5,0.0,5,or|copy|parity,1.4056390622295665,1.584962500721156,0.1793234384915896,3,0.0,0.0
67,0.5,0.0,4,copy|parity|or,3.0,3.0,0.0,8,0.0,0.0
68,0.5,0.0,4,or|copy|majority,2.0,2.0,0.0,8,0.0,0.0
69,0.5,0.0,6,or|copy|copy,2.0,2.0,0.0,8,0.0,0.0
70,0.5,0.0,4,and|majority|and,2.5,2.5,0.0,8,0.6666666666666666,2.0
71,0.5,0.0,6,or|parity|and,2.5,2.5216406363433186,0.021640636343318587,7,0.0,0.0
72,0.5,0.0,4,majority|parity|copy,2.0,2.0,0.0,8,0.0,0.0
73,0.5,0.0,4,parity|copy|copy,3.0,3.0,0.0,8,0.0,0.0
74,0.5,0.0,6,or|or|and,2.1556390622295662,2.2516291673878226,0.09599010515825634,6,0.0,0.0
75,0.5,0.1,4,copy|majority|copy,1.3828218444636975,1.3828218444636975,0.0,8,0.0,0.0
76,0.5,0.1,8,copy|copy|majority,1.1805715532296808,1.1805715532296808,0.0,8,0.0,0.0
77,0.5,0.1,5,or|copy|and,1.2460509261506383,1.2460509261506383,0.0,8,0.15454743621963968,1.2363794897571174
78,0.5,0.1,8,or|and|majority,0.8364031303674078,0.966237161248032,0.12983403088062428,5,0.0,0.0
79,0.5,0.1,6,copy|parity|majority,1.464179046618899,1.464179046618899,0.0,8,0.18758663470357126,1.2363794897571174
80,0.5,0.1,3,majority|copy|copy,1.5930132192321564,1.5930132192321564,0.0,8,1.2363794897571174,1.2363794897571174
81,0.5,0.1,3,parity|majority|or,1.5930132192321564,1.5930132192321564,0.0,8,1.2363794897571174,1.2363794897571174
82,0.5,0.1,4,copy|majority|majority,1.2512145951650182,1.2512145951650182,0.0,8,0.0,0.0
83,0.5,0.1,7,or|and|and,1.036526300719049,1.113735316065466,0.07720901534641689,6,0.0,0.0
84,0.5,0.1,3,parity|copy|copy,0.8624177306350442,0.8624177306350447,4.440892098500626e-16,6,0.0,0.0
85,0.5,0.1,4,copy|and|copy,1.273090264960436,1.273090264960436,0.0,8,0.0,0.0
86,0.5,0.1,5,majority|or|copy,1.4330517420962967,1.4330517420962967,0.0,8,0.0,0.0
87,0.5,0.1,5,or|majority|and,1.2255032822066831,1.2255032822066831,0.0,8,0.0,0.0
88,0.5,0.1,5,and|or|majority,1.167549538890937,1.167549538890937,0.0,8,0.0,0.0
89,0.5,0.1,6,majority|or|and,1.1630607782579143,1.183716288826287,0.02065551056837278,7,0.0,0.0
90,0.5,0.2,6,or|parity|parity,0.8342157153379128,0.8342157153379128,0.0,8,0.34717281541767053,0.3471728154176706
91,0.5,0.2,3,parity|majority|majority,0.7385971730624066,0.7385971730624066,0.0,8,0.0,0.0
92,0.5,0.2,6,parity|majority|and,0.6661037099897649,0.6661037099897649,0.0,8,0.0,0.0
93,0.5,0.2,6,and|copy|majority,0.7038140131470545,0.7038140131470545,0.0,8,0.0,0.0
94,0.5,0.2,6,and|majority|majority,0.6085222048542507,0.6085222048542507,0.0,8,0.07632928498831336,0.6106342799065069
95,0.5,0.2,4,majority|parity|or,0.7423826621952503,0.7423826621952503,0.0,8,0.0,0.0
96,0.5,0.2,3,and|and|majority,0.7385971730624066,0.7385971730624066,0.0,8,0.0,0.0
97,0.5,0.2,5,parity|and|and,0.7423826621952498,0.7423826621952498,0.0,8,0.0,0.0
98,0.5,0.2,7,parity|and|copy,0.7423826621952498,0.7423826621952498,0.0,8,0.16610843894614158,0.6943456308353413
99,0.5,0.2,3,and|copy|parity,0.8342157153379128,0.8342157153379128,0.0,8,0.6943456308353413,0.6943456308353413
100,0.5,0.2,4,majority|copy|parity,0.7385971730624066,0.7385971730624066,0.0,8,0.0,0.0
101,0.5,0.2,3,copy|copy|or,0.5938432516792695,0.59384325167927,4.440892098500626e-16,6,0.0,0.0
102,0.5,0.2,6,copy|parity|parity,0.8342157153379128,0.8342157153379128,0.0,8,0.0,0.0
103,0.5,0.2,5,and|parity|and,0.7590100335130003,0.7590100335130003,0.0,8,0.17358640770883532,0.6943456308353413
104,0.5,0.2,4,copy|parity|parity,0.8342157153379128,0.8342157153379128,0.0,8,0.0,0.0
105,0.5,0.35,5,parity|or|parity,0.18136960028463545,0.18136960028463545,0.0,8,0.05197437726802781,0.20789750907211124
106,0.5,0.35,5,parity|or|or,0.16016123925607673,0.16016123925607673,0.0,8,0.025987188634013905,0.20789750907211124
107,0.5,0.35,3,majority|copy|and,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
108,0.5,0.35,5,copy|and|copy,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
109,0.5,0.35,4,copy|majority|parity,0.18000918084867612,0.18000918084867612,0.0,8,0.03148210440464065,0.20789750907211124
110,0.5,0.35,4,copy|or|and,0.17290784614599897,0.17290784614599897,0.0,8,0.0,0.0
111,0.5,0.35,6,copy|majority|and,0.16330330169136076,0.16330330169136076,0.0,8,0.0,0.0
112,0.5,0.35,4,and|copy|parity,0.17290784614599897,0.17491641257506974,0.0020085664290707683,7,0.0,0.0
113,0.5,0.35,3,majority|and|copy,0.19779583387352728,0.19779583387352728,0.0,8,0.0,0.0
114,0.5,0.35,4,parity|and|parity,0.19726990762021002,0.19726990762021002,0.0,8,0.0,0.0
115,0.5,0.35,4,parity|parity|parity,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
116,0.5,0.35,7,and|or|parity,0.16016123925607628,0.16016123925607628,0.0,8,0.025987188634013905,0.20789750907211124
117,0.5,0.35,7,or|copy|or,0.14192998035284443,0.14192998035284443,0.0,8,0.012993594317006958,0.10394875453605566
118,0.5,0.35,4,majority|copy|and,0.17290784614599897,0.17491641257506974,0.0020085664290707683,7,0.0,0.0
119,0.5,0.35,5,majority|or|copy,0.1811747936624788,0.1811747936624788,0.0,8,0.0,0.0
120,0.8,0.0,8,parity|copy|majority,2.5,2.5216406363433186,0.021640636343318587,7,0.3804510410056068,0.41503749927884376
121,0.8,0.0,7,majority|majority|majority,1.5,1.584962500721156,0.08496250072115608,6,0.0,0.0
122,0.8,0.0,9,parity|and|parity,1.4056390622295665,1.5219280948873621,0.11628903265779567,5,0.6666666666666666,2.0
123,0.8,0.0,5,parity|parity|or,2.5,2.5,0.0,8,0.0,0.0
124,0.8,0.0,9,parity|majority|and,1.811278124459133,1.9219280948873623,0.11064997042822933,5,0.10375937481971094,0.41503749927884376
125,0.8,0.0,7,or|or|or,1.061278124459133,1.584962500721156,0.5236843762620231,3,0.0,0.0
126,0.8,0.0,8,majority|parity|copy,2.5,2.5216406363433186,0.021640636343318587,7,0.3333333333333333,2.0
127,0.8,0.0,8,parity|or|and,1.75,1.9219280948873623,0.17192809488736227,5,0.0,0.0
128,0.8,0.0,9,majority|majority|or,1.4056390622295665,1.584962500721156,0.1793234384915896,3,0.0,0.0
129,0.8,0.0,6,and|majority|and,1.5487949406953985,1.9219280948873623,0.3731331541919638,5,0.0,0.0
130,0.8,0.0,8,or|and|or,1.2987949406953985,1.584962500721156,0.2861675600257576,3,0.0,0.0
131,0.8,0.0,7,copy|majority|or,2.1556390622295662,2.2359263506290326,0.0802872883994663,7,0.0,0.0
132,0.8,0.0,8,parity|or|or,1.4056390622295665,1.584962500721156,0.1793234384915896,3,0.3333333333333333,1.0
133,0.8,0.0,8,copy|parity|and,2.25,2.2516291673878226,0.0016291673878225943,6,0.0,0.0
134,0.8,0.0,8,and|parity|copy,2.25,2.25,0.0,8,0.08300749985576875,0.41503749927884376
135,0.8,0.1,6,copy|parity|parity,1.5930132192321564,1.5930132192321564,0.0,8,0.6181897448785587,0.6181897448785587
136,0.8,0.1,6,parity|parity|and,1.3946423208177685,1.3946423208177685,0.0,8,0.4088556513747081,0.8177113027494162
137,0.8,0.1,7,parity|and|copy,1.4166379971766778,1.4166379971766778,0.0,8,0.30909487243927936,1.2363794897571174
138,0.8,0.1,6,copy|majority|majority,1.3828218444636975,1.3828218444636975,0.0,8,0.0,0.0
139,0.8,0.1,9,majority|and|or,0.97737688460681,1.0320817264433024,0.05470484183649238,6,0.0,0.0
140,0.8,0.1,8,parity|majority|and,1.0690969220420015,1.0901183181044554,0.0210213960624539,6,0.07727371810981984,0.6181897448785587
141,0.8,0.1,6,parity|parity|and,1.2460509261506383,1.2460509261506383,0.0,8,0.033039198483931574,0.2643135878714526
142,0.8,0.1,8,parity|majority|majority,1.2855095806839034,1.2855095806839034,0.0,8,0.0,0.0
143,0.8,0.1,9,parity|copy|majority,1.4330517420962963,1.4330517420962963,0.0,8,0.18534184515376248,0.2643135878714526
144,0.8,0.1,6,majority|and|and,0.6933904688040102,0.8390785686476944,0.14568809984368414,4,0.0,0.0
145,0.8,0.1,8,copy|or|majority,1.2503345715747467,1.283495248331604,0.0331606767568573,7,0.0,0.0
146,0.8,0.1,7,copy|majority|and,1.1924591432247502,1.2227702953113957,0.030311152086645476,7,0.0,0.0
147,0.8,0.1,7,and|or|majority,1.036526300719049,1.113735316065466,0.07720901534641689,6,0.0,0.0
148,0.8,0.1,6,and|or|majority,0.9672590061180126,1.0426006740763218,0.07534166795830921,6,0.0,0.0
149,0.8,0.1,7,or|majority|parity,1.327511016026797,1.327511016026797,0.0,8,0.0660783969678631,0.2643135878714524
150,0.8,0.2,7,and|copy|or,0.582697445390858,0.582697445390858,0.0,8,0.0,0.0
151,0.8,0.2,8,majority|copy|and,0.7158376309754488,0.7158376309754488,0.0,8,0.01917185803897013,0.15337486431176103
152,0.8,0.2,7,majority|and|and,0.4888252681672576,0.5047111317829363,0.015885863615678675,6,0.043396601927208824,0.3471728154176706
153,0.8,0.2,6,parity|majority|copy,0.8342157153379128,0.8342157153379128,0.0,8,0.0,0.0
154,0.8,0.2,8,and|copy|parity,0.6661037099897649,0.6661037099897649,0.0,8,0.0,0.0
155,0.8,0.2,7,parity|parity|parity,0.7385971730624066,0.7385971730624066,0.0,8,0.2552741289835813,0.5105482579671626
156,0.8,0.2,9,and|majority|and,0.4888252681672576,0.5578631072342128,0.06903783906695526,4,0.01917185803897013,0.15337486431176103
157,0.8,0.2,8,or|copy|copy,0.6726652284378978,0.7095477675170763,0.03688253907917849,6,0.07632928498831337,0.610634279906507
158,0.8,0.2,8,and|parity|parity,0.6661037099897653,0.6661037099897653,0.0,8,0.019171858038970143,0.15337486431176114
159,0.8,0.2,7,parity|parity|or,0.7590100335130003,0.7590100335130003,0.0,8,0.17358640770883532,0.6943456308353413
160,0.8,0.2,8,or|copy|parity,0.7423826621952498,0.7423826621952498,0.0,8,0.0,0.0
161,0.8,0.2,4,parity|and|majority,0.8342157153379128,0.8342157153379128,0.0,8,0.0,0.0
162,0.8,0.2,7,and|parity|majority,0.6853913313473567,0.6853913313473567,0.0,8,0.12008403408308928,0.3471728154176706
163,0.8,0.2,7,parity|or|copy,0.6661037099897649,0.6661037099897649,0.0,8,0.07632928498831337,0.610634279906507
164,0.8,0.2,8,or|copy|majority,0.6463552531206989,0.6463552531206989,0.0,8,0.01917185803897013,0.15337486431176103
165,0.8,0.35,7,and|majority|majority,0.12614381947820608,0.13790494214502935,0.011761122666823276,6,0.012993594317006958,0.10394875453605566
166,0.8,0.35,6,or|majority|copy,0.17715079453474436,0.17715079453474436,0.0,8,0.0,0.0
167,0.8,0.35,6,parity|copy|parity,0.19194500535442005,0.19194500535442005,0.0,8,0.0,0.0
168,0.8,0.35,7,parity|or|majority,0.16482986156127266,0.16482986156127266,0.0,8,0.012143763853085103,0.04857505541234041
169,0.8,0.35,8,copy|or|and,0.12333992753576917,0.12333992753576917,0.0,8,0.0,0.0
170,0.8,0.35,7,and|and|or,0.12208441089618072,0.13636681117721672,0.014282400281036,6,0.0,0.0
171,0.8,0.35,8,majority|or|majority,0.1729078461459994,0.1749164125750693,0.00200856642906988,7,0.0,0.0
172,0.8,0.35,7,and|copy|or,0.16190444730171905,0.16190444730171905,0.0,8,0.0,0.0
173,0.8,0.35,8,parity|copy|copy,0.19194500535442005,0.19194500535442005,0.0,8,0.04768291492479617,0.09536582984959234
174,0.8,0.35,9,or|and|copy,0.12333992753576917,0.12333992753576917,0.0,8,0.0,0.0
175,0.8,0.35,6,parity|parity|copy,0.19779583387352728,0.19779583387352728,0.0,8,0.10394875453605566,0.10394875453605566
176,0.8,0.35,7,and|and|and,0.12323386230430389,0.1435927519390976,0.02035888963479371,5,0.012993594317006958,0.10394875453605566
177,0.8,0.35,7,copy|and|copy,0.17290784614599897,0.17290784614599897,0.0,8,0.0,0.0
178,0.8,0.35,8,copy|copy|and,0.15440620431174468,0.15440620431174468,0.0,8,0.0,0.0
179,0.8,0.35,9,and|copy|majority,0.15875783011055988,0.15875783011055988,0.0,8,0.006071881926542551,0.04857505541234041
